\bfseries{LLMIC},,,,,,
,Economic Closures,\bfseries{11.4},9.4,5.5,8.2$^*$,16.2\textsuperscript\textdagger
,Elimination,21.7,29.4,9.0,12.3\phantom{1},17.8\phantom{1}
Influenza-1918-X,No Closures,1093.1,307.4,1052.7,1165.4\phantom{1},1263.9\phantom{1}
,School Closures,130.7,70.2,66.0,138.9\phantom{1},180.6\phantom{1}
,Economic Closures,105.7,52.3,64.1,102.3\phantom{1},143.4\phantom{1}
,Elimination,\bfseries{67.1},51.5,32.1,47.9$^*$,81.8\textsuperscript\textdagger
Covid-Omicron-X,No Closures,98.3,54.3,54.2,92.2\phantom{1},143.3\phantom{1}
,School Closures,106.1,46.0,96.0,114.5\phantom{1},133.9\phantom{1}
,Economic Closures,\bfseries{50.9},26.3,34.1,47.0$^*$,64.1\textsuperscript\textdagger
,Elimination,90.3,55.8,27.3,106.9\phantom{1},136.2\phantom{1}
Covid-Delta-X,No Closures,797.6,220.5,675.9,845.3\phantom{1},949.2\phantom{1}
,School Closures,273.7,167.8,147.9,233.2\phantom{1},373.0\phantom{1}
,Economic Closures,177.6,100.8,111.8,157.8\phantom{1},223.9\phantom{1}
,Elimination,\bfseries{157.6},112.1,53.3,152.3$^*$,220.1\textsuperscript\textdagger
Covid-Wildtype-X,No Closures,331.4,129.5,260.8,353.2\phantom{1},428.6\phantom{1}
,School Closures,102.6,46.9,89.0,107.8\phantom{1},127.8\phantom{1}
,Economic Closures,73.8,38.3,47.2,73.2\phantom{1},97.0\textsuperscript\textdagger
,Elimination,\bfseries{68.7},51.2,26.1,43.7$^*$,118.2\phantom{1}
SARS-X,No Closures,1476.4,788.7,880.2,1756.8\phantom{1},2056.3\phantom{1}
,School Closures,80.6,70.0,22.0,76.7\phantom{1},114.9\phantom{1}
,Economic Closures,63.4,63.3,21.1,41.1\phantom{1},89.3\phantom{1}
,Elimination,\bfseries{42.9},42.7,14.8,28.8$^*$,55.1\textsuperscript\textdagger
