r0,rt
1.55803531062522,1.1207325260557
1.96698968661807,1.36145376269663
1.53849529176686,1.11413562933294
1.71749090426124,1.21647973427229
2.01748334203184,1.35379111360354
1.8840115769279,1.26604533720949
1.78869389459252,1.14077765879835
1.76687208624246,1.11120205845465
1.83075645053127,1.22666446506249
1.73073236666456,1.18321917814192
1.63123126179867,1.1465069820645
1.91416441786795,1.29073020768274
1.86417035695266,1.2025149734577
1.76900997279402,1.23227155169003
1.90144888846066,1.26281598816945
1.87420058591971,1.31918317694901
1.74467007061389,1.14432520605164
1.60612428907202,1.1897327635129
1.70842666458964,1.16672210332496
1.74845245112901,1.20859963909248
1.66083992761343,1.13019886902139
1.64577114896301,1.22189683630792
1.60704458492166,1.0743044626513
1.57104182175487,1.10046695331735
1.60304862646537,1.13300353611239
1.7995424199681,1.27601411974051
1.78008111015468,1.29367956853998
1.67479832875792,1.15147500004624
1.56966669197523,1.19451830877598
1.78386261917736,1.15415931971003
1.64158367555381,1.05467909831774
1.81279509574926,1.12102849142261
1.60248809800426,1.17403961098154
1.71068096096882,1.19762264411688
1.64495552156512,1.22636994313201
1.76474667491962,1.25492063136912
1.68658020804685,1.11208646506013
1.67405419904961,1.13891035480547
1.59553911278023,1.14297328355687
2.12882777814599,1.43505197417817
1.95660261530013,1.33607560648578
1.49441748265323,1.06535776835586
1.66014348097805,1.07929408138772
1.84093969919726,1.26650102732965
1.92834542154713,1.27779764620323
1.88457583575338,1.28128968418467
1.90839939164052,1.26744486126826
1.81990701936413,1.23854980465665
1.7061579418263,1.12313381016344
1.60373687587497,1.12132629399133
1.78489377464442,1.2022105751322
1.73949264639991,1.27940613233061
1.93876386612139,1.37170841803535
1.87658751521223,1.25793283058176
1.68623889692408,1.14426800398651
1.86271259677858,1.32058801544975
1.7327328117639,1.09712788456729
2.02238004118962,1.30434221768317
1.6111379597111,1.10749150390096
1.66842160251288,1.20749717179786
1.75118152363005,1.22386801545516
1.66828997549346,1.19444721762452
1.67098118003511,1.16754259730266
1.82128028415442,1.21936271610609
1.81903153507298,1.19175608926904
1.4462108940416,1.13215217360588
1.88610640039319,1.30014001986415
1.84480119875749,1.23814846614232
1.92766977547905,1.24914617858018
1.46440176646463,0.976092678342614
1.56136192883787,1.19302345591463
1.86657311959931,1.26260295837191
1.65659630957143,1.20672002968094
1.83064957102183,1.22153013452847
1.77825519036163,1.3636536952789
1.84843521375333,1.33654720547253
1.838585543441,1.31141287497879
1.70182451906596,1.18259055549315
1.86345282346152,1.31713185177018
1.60444266859131,1.26076743258829
2.08970267826644,1.36421198927802
1.86660032864611,1.24972611138316
1.94242665262282,1.2464033990135
1.86249920210697,1.29902814583882
1.47896462043578,0.968665254968327
2.01144764756172,1.35741128669236
1.82401598596094,1.205328276405
1.77970893078495,1.21017346371153
1.85762517571387,1.32104685789018
1.75620576978566,1.2206525152034
1.881264221935,1.24306155625583
1.98411059305289,1.32050840413377
1.96903863461273,1.36380292833387
1.72611147161396,1.17374192559155
1.72497568425548,1.1803459096358
1.71172337272339,1.1612973121538
1.96538258215859,1.29397950533246
1.97383893631116,1.41179323899256
1.63126835993155,1.12181686787656
1.88999585511917,1.29049234099073
1.92051050589262,1.26501904789073
1.80732648614846,1.1930470623124
1.80675121639763,1.22087638395505
1.78405824870545,1.24358266353765
1.62377173186569,1.15183201424114
1.87518617332612,1.20721673483132
1.87145701830897,1.25030336563745
1.74259938141702,1.27168463948543
1.76509110822048,1.21893676551281
1.66737835981243,1.20391012000436
1.68805850259421,1.15924721947255
1.60785371054396,1.14980284378879
1.60337430741415,1.05753948091773
1.86793232870112,1.21269347964178
1.80742836493037,1.24663901573316
1.80198330125953,1.21872417374644
1.73316956369657,1.10025271795378
1.68009894076912,1.14469577698925
1.9751550332889,1.33735979031672
2.07850174774478,1.43909362283033
1.58340351507695,1.00838342664811
1.73372630783524,1.12699460668606
1.71739503547838,1.07870991844795
1.9516589172616,1.31263085295276
2.02784177118384,1.41408572005832
2.00382336669718,1.32638415657952
2.13804722270165,1.40072651382901
2.03574097825802,1.4242854321014
1.98943779982817,1.27975381751385
1.59232138188734,1.25796981651535
1.79509847699085,1.17650830922445
1.8306363816163,1.21488993438912
1.68827037552975,1.10535058561514
1.8297627713775,1.1841328992143
1.80971822603999,1.24405027365918
1.86736267995401,1.25005378847385
1.82518125399584,1.23252981934332
1.93062526901669,1.39231650698011
1.71497319270832,1.17377317011598
1.64280703857426,1.15577964606587
1.7246608998149,1.22738790498098
1.6170518921247,1.17479028953858
1.58258200488701,1.25716640346154
1.7494314028013,1.20159265795302
1.63842798970312,1.10999260418807
1.70152695469485,1.15931525945755
1.79869250550083,1.16999532988973
1.97550580414846,1.29693634682878
1.65588321252092,1.17245558235895
1.83650662528351,1.21993240170333
1.8602887326402,1.25339260628976
1.84613107729504,1.1651203462693
1.66025384055235,1.20548419834919
1.80650876153816,1.19289854501382
1.73506823204734,1.22719969501641
1.7379393498921,1.34015982950371
1.5234240519277,1.05050357844367
1.936140483337,1.28615915811709
1.74070533522416,1.24085959557844
1.53507853498939,1.24416482310296
1.48449385433901,1.1916350345099
1.45766123924542,1.1816542983631
1.6514362638804,1.22317465550593
1.71285171336543,1.24907372391118
1.73587029253471,1.17217752873886
1.51610265862239,1.02389533466169
1.99497133149407,1.35399307084217
2.04729753777117,1.37248001536103
