r0,rt
2.93602182495705,1.8775447486949
3.16619381462114,2.11519681454975
3.06348686849662,1.95519290405888
2.8048543122293,2.12560928249071
2.52441949677205,1.75870360777477
2.73125303868521,1.78010199416682
3.63143118225983,2.14963250001132
2.82961764211703,1.96064079725725
2.78839931315067,2.15490565132467
3.25366049110324,2.20420073524045
3.09506182785199,2.26399432076182
3.26023790396844,2.16954424237201
3.2621775435115,2.25313356939412
2.82528721719717,2.15707443809938
2.92189393291051,2.04590802568095
2.98771980454369,1.78830540101396
2.64618240036092,1.97814282064059
3.12294105167126,1.98231926003637
3.10378067585481,2.17788866102618
3.52034791205265,2.21944970702109
2.81553924437248,2.08498685931622
3.02312230736189,2.02383381685332
2.81466872962227,1.96699980936234
3.56856169138423,2.68063377908589
3.03095099148279,2.09856820279689
2.95315514115778,2.2289692749452
3.69171639182001,2.57435621814326
3.14656566215859,2.24503824209557
3.22499248204437,2.1003698839619
2.8750064081095,2.00770059795836
3.00259193251889,1.94820203966936
3.23896537263406,2.09978764950112
3.0078159638117,2.16353940612469
2.76681822500662,1.94980462570021
2.22122646594849,1.75448998906261
2.92114146408814,1.89231672501662
2.82003690222468,2.17096336273146
2.46894788693227,1.91563251544238
3.42027922717051,2.18538606622639
3.55107094944079,2.24932145725956
3.01377820753824,1.95193307883738
2.92960716098873,2.08796202931693
2.93227812811371,1.794082839107
2.96217310518711,2.13482685614086
3.22728138791272,2.13150227740905
3.08248258949818,2.34478804834564
2.77744487602769,1.87334162750429
3.02882559813865,2.24624017356971
3.04238456132044,2.2210530132224
3.12755599017296,2.23121140452791
2.64399314419139,1.77271981164334
2.79704727796441,2.07520630775266
2.94609333870197,2.26487826246996
2.93664486061939,2.08463765834122
3.24101619851392,2.27156833157902
3.11094419973751,2.04839733143468
2.91405063943675,2.12286455119324
3.30524365166139,2.18771598229084
3.38246657018945,2.20316120641212
3.14962791296208,2.25398463508525
3.34474631879884,2.33945666286632
2.72793379214096,2.06157356857187
2.83253608189368,1.9273887078141
3.17729758561457,2.30454813547661
2.69476832451729,1.94854064250449
2.80484802647188,2.19537137011467
3.56709106743601,2.25793501356694
2.71330736417453,1.83862022970255
3.17059015041032,2.14345626815403
3.46164625074442,2.21415577873371
