r0,rt
4.39712187665341,3.16295624020165
5.55128200445548,3.8423250636105
4.34197560120871,3.14433833167299
4.84714099647065,3.43317613894624
5.69378632084545,3.8206993650589
5.31709933932988,3.57306128501347
5.04809165807227,3.21952805927535
4.98650566561763,3.1360591427498
5.16680153816602,3.46191971250971
4.88451134592001,3.33930745831165
4.60369711663183,3.23569748271539
5.40219735709404,3.64272747501574
5.26110300739975,3.39376448064731
4.99253925655204,3.47774415699188
5.36631130743343,3.56394734438935
5.28941054248453,3.72302807716723
4.92384664373256,3.22954002596799
4.53283966026993,3.35769024369198
4.8215596978419,3.29274904716157
4.93452136207522,3.41093675921657
4.6872593512646,3.1896723636826
4.64473190929562,3.44846440469126
4.53543693966781,3.03192592792703
4.4338291413971,3.10576229047343
4.5241594569134,3.19758775747277
5.07870860746555,3.60119540460102
5.02378446643658,3.65105122676841
4.72665306116128,3.24971833346384
4.42994821957457,3.37119611587888
5.03445672523391,3.25729408007055
4.63291392878522,2.97653878858565
5.11611060355903,3.16379152023715
4.52257752103427,3.31340067988125
4.82792182317868,3.37995724006322
4.64243002752824,3.46108850617257
4.98050728255094,3.54166489297509
4.75990414271,3.13855513472527
4.72455296176224,3.214258112451
4.50296594051311,3.22572460026052
6.0080250627676,4.05003557156952
5.52196738095818,3.7707022671932
4.21757822882137,3.00667636847101
4.68529382409363,3.04600774080535
5.19554092884562,3.57434734379704
5.4422193008108,3.60622891261802
5.31869180312622,3.61608421981009
5.38592717196325,3.57701105291267
5.13618203242768,3.49546278203102
4.81515685804313,3.16973319757239
4.52610184969161,3.16463198526443
5.0373668751076,3.39290540092867
4.90923480206197,3.61076841791086
5.47162246660928,3.87126597978867
5.29614698737674,3.55016598853077
4.75894088687465,3.2293785890286
5.25698888424178,3.72699284360265
4.89015704653369,3.09633869644549
5.70760589402408,3.68114359212808
4.54698935296246,3.12558713323161
4.70865652264748,3.40782535151841
4.9422234111337,3.45402751028459
4.70828504194823,3.37099548085145
4.71588021921023,3.29506466349862
5.14005769083583,3.44131255434386
5.133711221206,3.36340051860376
4.08152852318409,3.19518502328773
5.32301139666524,3.66928405606107
5.20643893871562,3.49433011555721
5.44031247746311,3.52536810399297
4.13286720757799,2.75475044776694
4.40651033249802,3.36697730891463
5.26788413753587,3.56334612696074
4.67528291812384,3.40563208376624
5.16649990043939,3.44742949078038
5.01863131502061,3.84853376223158
5.21669493659276,3.77203322433358
5.18889697815572,3.70109855827348
4.80292697603061,3.33753334550291
5.25907796843586,3.71723878166254
4.52809375357994,3.55816586530473
5.89760533644085,3.85010939196243
5.26796092751237,3.52700480323692
5.48195966406888,3.51762737054922
5.25638663705747,3.66614610047845
4.17396681767433,2.73378860846618
5.67675224978533,3.83091629799845
5.14777844926758,3.40170424674301
5.02273409354867,3.41537844203033
5.24263105145915,3.72828779893451
4.95640295028399,3.4449526540185
5.30934569301658,3.50819594765535
5.59960100706038,3.72676816277754
5.55706459101818,3.84895493107561
4.87147015322164,3.3125605455584
4.86826470889882,3.33119845608329
4.83086374079714,3.27743908096741
5.54674639853649,3.65189771504941
5.57061210914487,3.98439425226791
4.60380181580684,3.16601649378497
5.33398830222522,3.64205616235164
5.42010742774142,3.57016486849163
5.10067697201903,3.36704393141501
5.09905343294444,3.44558446138426
5.0350088352354,3.50966662820626
4.58264466548764,3.25072590685835
5.29219208916486,3.40703389607952
5.28166758500533,3.52863394302126
4.91800269866582,3.58897664921445
4.98147934986672,3.44011042711393
4.70571225991511,3.39770189423453
4.76407621843255,3.27165326384478
4.53772047197966,3.24499913691505
4.52507860092441,2.98461142392339
5.27172012766763,3.42249048698905
5.1009644965813,3.5182923332914
5.08559731688804,3.43951044590663
4.89138965754366,3.10515767066957
4.74161256617065,3.23058585950302
5.57432642728205,3.77432651933833
5.86599382141308,4.06144200221007
4.46871658699497,2.84588211520691
4.89296091322391,3.180629223314
4.84687043346123,3.04435910317536
5.50801516649389,3.7045359627778
5.72302010978552,3.99086414327571
5.65523483490097,3.7433508419022
6.03404438406912,3.9531614945841
5.74531342752822,4.01964999726396
5.61463556840398,3.61174966276134
4.49388478888205,3.55027037105444
5.06616681284086,3.32036789492234
5.16646267700603,3.42868937038708
4.76467417093955,3.11954498606941
5.16399715477653,3.34188618222705
5.10742699349065,3.5109863278826
5.27011245231468,3.52792958080399
5.15106709461053,3.47847304570227
5.44865353700268,3.92942658636612
4.84003545497683,3.31264872454954
4.63636653108738,3.26186700111924
4.86737631725539,3.4639614207241
4.56367978444084,3.31551926158666
4.46639810268113,3.54800296088037
4.93728418123925,3.39116150133409
4.62400788205104,3.13264579404191
4.80208718324992,3.27184528780245
5.07630995996904,3.30198681991104
5.57531638059679,3.6602425788279
4.67327039978128,3.30893019910195
5.18302980913348,3.44292033369607
5.25014820100683,3.53735246664002
5.21019215147713,3.28822853280449
4.68560528333664,3.40214429311883
5.09836917145216,3.36662478259457
4.89674812155583,3.46343025037966
4.90485105413997,3.78222885215493
4.2994412132182,2.9647545436077
5.46421869741778,3.62982695735268
4.91265727941041,3.50198152529917
4.3323327543034,3.51130961186837
4.18957154446789,3.3630588751724
4.11384394187043,3.33489101982476
4.66072012250692,3.45207069442786
4.83404816883134,3.52516362081601
4.89901171448686,3.30814546999636
4.27877861433431,2.8896601667119
5.63025242443884,3.82126933326568
5.77792860659867,3.87344359890781
4.2839528803959,2.87178720283162
5.67165271808318,4.14813255043249
4.38128486976939,3.1984425353327
5.01289232904673,3.50777984627665
4.80011233634428,3.19606962473328
4.82143968515517,3.46250448413961
4.98059650920955,3.42589802121747
5.1294072433514,3.54346751141239
4.23915705140656,3.171377832098
5.13627127745339,3.48065510672082
4.65889604697929,3.16976093095765
5.04213369248668,3.23770834390033
5.53115250022415,3.72467668014137
4.72710370258202,3.62015975054497
5.34196875612656,3.65042953200276
5.27137527748579,3.62795448576435
5.22306606128304,3.76052622350587
4.31274626249849,3.25145032524388
5.46566700044097,3.56776650968603
3.84293936925624,2.95401823720005
4.93418209295417,3.5214485981514
5.83319276307036,3.73481760434869
4.54854185654269,3.40115221422495
4.95537939797838,3.44626093436862
5.21526739684939,3.407817937965
5.32160908185888,3.92220174602313
4.61894807771678,2.96735184737423
4.81032910395539,3.38211390280092
4.7095602221776,3.29266475431435
5.81683578927657,3.91898254026142
5.60628872818672,3.98404113293224
4.66561309085387,3.35889628541615
4.33042612358788,3.0727355821608
5.09585088957534,3.65188807206322
5.23190807005632,3.67244147775192
4.52495792243772,3.20866698414093
4.96842241228204,3.20952017007535
5.399569654599,3.62003558177682
4.816438572002,3.21956422526518
5.36964545732684,3.45767733941655
5.64500806807375,3.76295516063157
4.95104914049281,3.30952642119838
5.30244239310719,3.52821208200794
5.94210464184665,3.89565633965257
5.35794896505701,3.63462491080495
5.12048849730015,3.2493025636714
5.18702282177527,3.26811229939055
4.56038015387631,3.08499229312774
5.69066371161409,3.70308163819936
4.66946048026295,3.46211305345131
5.6339146884005,3.82547837658916
5.03478580667322,3.17639460001186
5.03326672387061,3.18785535776006
6.07137477170209,4.11905903647449
4.86955330076754,3.02028739381659
5.05370923782667,3.37591054568834
4.74617265009176,3.19248845451342
5.53250443013769,3.77770837419912
4.94333301383378,3.52680192254761
5.30439535302633,3.59169360823153
4.5922689527091,3.07563791061335
5.50280261389051,3.6653715006352
4.74032166539522,3.28866283530622
5.17292920766693,3.40417646169709
5.17824227511159,3.76321992552479
