r0,rt
2.48420074527465,1.75050352680633
3.13625577810771,2.1767747577961
2.4530452707616,1.75743847259713
2.7384438306832,1.94451726106333
3.21676510646188,2.16269463601721
3.00395179210171,1.99144022186159
2.85197304304475,1.81611049313561
2.81717938195326,1.81880622474446
2.91903945168041,1.95621233047395
2.7595566068485,1.91179582232988
2.60090762297899,1.75544626804422
3.0520288218228,2.14888371980319
2.97231606914118,1.93159209903704
2.82058812328825,1.94384105056487
3.03175461660116,2.10266872921808
2.9883087119942,2.02904159885117
2.78177950147882,1.83804290766077
2.56087594979816,1.85897706304098
2.72399140409571,1.87874288673979
2.78781029707791,1.94590124961228
2.64811699569475,1.78487724721916
2.62409066529101,1.96058962661055
2.56234331040286,1.7460503508518
2.50493890468693,1.7523621070286
2.55597197664201,1.77973462636025
2.86927041406024,2.10678354283704
2.83824043674664,2.07638355744829
2.67037289085292,1.8418262213812
2.5027463366494,1.92045017823185
2.84426984279946,1.77671368455566
2.61741397157747,1.66241419759015
2.89040106933354,1.78395522992169
2.55507824515124,1.931235691896
2.72758575443362,1.91775338095642
2.62279019271772,2.00257007443965
2.8137905316774,2.00307790752334
2.68915844283025,1.79191992347952
2.66918641737354,1.84655325233802
2.54399847426625,1.86167152602696
3.39429762404388,2.20391326297604
3.11969416995077,2.16984017102697
2.38276565289711,1.74265013306167
2.64700655022612,1.71669911208143
2.9352760759423,2.00892273242602
3.0746396443557,2.07018850335569
3.00485147145122,2.02205760087929
3.04283680778238,1.99047862164758
2.90174063643058,1.95325563396032
2.72037405168971,1.77865087887623
2.55706935208954,1.78990720337596
2.84591396290527,1.89566537479181
2.77352438620429,1.98997195668969
3.09125127542688,2.18737274503996
2.99211453814393,2.02685443991171
2.68861424120674,1.84435269381265
2.96999175153029,2.09078540803765
2.76274620542355,1.78083583321312
3.22457262123013,2.0622716109214
2.56886996909492,1.70872298151429
2.66020555511776,1.88549706249733
2.79216165156568,1.97407079253894
2.65999568314791,1.92672028742759
2.6642866592782,1.81571743849986
2.90393023084621,1.88400292317037
2.90034472536636,1.88692022401005
2.30590292549966,1.80451625615346
3.00729187173803,1.9922096215752
2.94143302246334,2.0141152721473
3.07356236423604,1.98073585483715
2.33490726097417,1.51237510587552
2.48950485320262,1.83450486799348
2.97614714069447,1.95018981085896
2.64135078248335,1.8796659617069
2.91886903824035,1.9548910396174
2.8353291090766,2.21490013095492
2.94722725748448,2.1136903192712
2.93152250537536,2.10570061488028
2.71346464984406,1.96444769893291
2.97117200185253,2.15781374364397
2.55819469936503,2.09029751464581
3.3319148259026,2.1237264791522
2.97619052400797,1.99176111239298
3.09709138501528,1.99638570305879
2.96965150558167,2.07839508088165
2.35812692258372,1.54675976433877
3.20714152694565,2.1213429448293
2.90829215539328,1.89993336897156
2.83764701741823,1.91005069496986
2.96188014127711,2.06409885991621
2.80017253293603,1.99833055864579
2.99957128719637,1.92986115364952
3.16355411225655,2.08433350891491
3.13952271185475,2.21875599936927
2.7521888464067,1.84861906469058
2.7503778965629,1.98132773722581
2.72924782206451,1.84001480730516
3.13369333933065,2.09458695947308
3.14717652622946,2.25235057470931
2.60096677389086,1.80141445585858
3.01349339121778,2.1173926333017
3.06214730661767,1.97437915572778
2.88168167513672,1.94393795770724
2.88076443947844,1.91201524794481
2.84458176321369,2.03349546870767
2.58901381691919,1.85400706920185
2.98988017635888,1.88578154793778
2.9839342458593,1.94886906079625
2.77847790259269,1.98933683205735
2.81433971144044,1.88017838505736
2.65854216258982,1.92182769897309
2.69151550135853,1.83899575661586
2.56363341625621,1.82649782275357
2.55649125682146,1.64264303240557
2.97831432409568,1.86290865535252
2.88184411519454,2.07039472058213
2.87316226367492,1.9042553169563
2.76344258211619,1.80677302320762
2.67882442222633,1.79284426722942
3.14927496974398,2.13166358419093
3.31405556445974,2.24892337060034
2.52464893792825,1.60782347795517
2.76433027971508,1.82804406711629
2.73829097323497,1.69347229548478
3.11181171807823,2.11481690310076
3.23328104627645,2.3191669062801
3.19498503467829,2.12311166392046
3.40899751619652,2.19942900189015
3.2458758931114,2.31834327353863
3.17204804750381,2.00212406214912
2.53886798112036,2.09537636796468
2.86218479386874,1.83562342554561
2.91884800846599,1.88111511508603
2.69185332098355,1.74385628185533
2.91745508547413,1.94058999103364
2.88549517151931,1.93914243960045
2.97740605081557,2.02398531046761
2.91015011053783,2.00959250370462
3.07827473448772,2.13016653187295
2.73442947948493,1.87793316768885
2.61936455594896,1.85161898249825
2.74987599026042,1.88259154069936
2.57829940577661,1.79321863516094
2.52333908556984,2.03473360115412
2.78937118113319,1.90457157488336
2.61238240580442,1.72317222785834
2.71299019998567,1.85854480975464
2.86791527265966,1.94417714889286
3.14983425439227,2.07364552531511
2.6402137888528,1.84530024964287
2.92820778586871,2.02365614094693
2.96612703482077,2.02648472968874
2.94355343990932,1.88293878542055
2.64718251243624,1.96635009847114
2.88037785867473,1.87393385788986
2.76646990331992,1.91731163678795
2.77104774121685,2.0915217660251
2.42901501612917,1.64142468484905
3.08706843732067,2.11198231946926
2.77545795116296,2.06752704603623
2.44759744189975,1.95920881158892
2.36694297886275,1.85523082510873
2.32415986479687,1.88446166998613
2.6331233762982,1.97008647989963
2.73104689853266,1.94384710696861
2.76774874420812,1.85397747614194
2.41734146124792,1.66571694000698
3.18087095632665,2.20629584877213
3.26430218522404,2.20926312130436
2.42026471786145,1.57788329823174
3.20426049230289,2.45021807230522
2.47525345988939,1.77632574208091
2.83208680794568,1.980757883036
2.71187448923387,1.72662764247194
2.72392360165261,1.92557065069769
